Row Labels=UPPER(A2),Count of Quantity_Sold,,,STATE,QUANTITY SOLD 
ab,928,,,AB,928
al,26,,,AL,26
az,8741,,,AZ,8741
ca,73148,,,CA,73148
co,7775,,,CO,7775
fl,82945,,,FL,82945
ga,34750,,,GA,34750
hi,1237,,,HI,1237
il,23486,,,IL,23486
in,4325,,,IN,4325
la,2191,,,LA,2191
ma,6729,,,MA,6729
md,11158,,,MD,11158
mi,15511,,,MI,15511
mn,9429,,,MN,9429
mo,16013,,,MO,16013
ms,1851,,,MS,1851
nc,21845,,,NC,21845
ne,4013,,,NE,4013
nj,27784,,,NJ,27784
nm,171,,,NM,171
ns,61,,,NS,61
nv,12685,,,NV,12685
ny,5699,,,NY,5699
oh,21575,,,OH,21575
ok,72,,,OK,72
on,3442,,,ON,3442
or,1155,,,OR,1155
pa,53907,,,PA,53907
pr,2725,,,PR,2725
qc,1245,,,QC,1245
sc,4251,,,SC,4251
tn,20895,,,TN,20895
tx,45913,,,TX,45913
ut,1836,,,UT,1836
va,12027,,,VA,12027
wa,7416,,,WA,7416
wi,9851,,,WI,9851
Grand Total,558811,,,GRAND TOTAL,558811
